Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%],lat,lon,elevation_m,gps_bearing,gps_speed_ms,gps_fix
08:19:50.756,22,98.0,193.0,0.0,16.0,10.55,89.0,17.0,14.1,14.5,12.9121405,74.900219,26.6,344.9,0.353,0
08:19:50.846,22,98.0,193.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.9121403,74.900219,26.7,345.0,0.354,0
08:19:50.935,22,98.0,193.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.91214,74.9002189,26.8,345.2,0.355,0
08:19:51.025,22,98.0,193.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.9121397,74.9002189,26.9,345.3,0.357,0
08:19:51.115,22,98.0,193.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.9121394,74.9002189,26.9,345.5,0.358,0
08:19:51.205,22,98.0,193.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.9121391,74.9002188,27.0,345.7,0.36,0
08:19:51.295,22,96.0,193.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.9121388,74.9002188,27.1,345.8,0.361,0
08:19:51.385,22,96.0,988.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.9121386,74.9002187,27.1,346.0,0.363,0
08:19:51.475,22,96.0,988.0,0.0,16.0,10.55,84.7,17.0,14.1,14.5,12.9121383,74.9002187,27.2,346.1,0.364,0
08:19:51.565,22,96.0,988.0,0.0,27.0,10.55,84.7,17.0,14.1,14.5,12.912138,74.9002187,27.3,346.3,0.366,0
08:19:51.655,22,96.0,988.0,0.0,27.0,10.61,84.7,17.0,14.1,14.5,12.9121377,74.9002186,27.4,346.4,0.367,0
08:19:51.746,22,96.0,988.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.9121374,74.9002186,27.5,346.6,0.369,0
08:19:51.835,22,96.0,988.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.9121371,74.9002185,27.5,346.7,0.37,0
08:19:51.926,22,96.0,988.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.9121368,74.9002185,27.6,346.9,0.372,0
08:19:52.016,22,96.0,988.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.9121365,74.9002185,27.7,347.0,0.374,0
08:19:52.105,22,96.0,988.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.9121363,74.9002184,27.8,347.2,0.375,0
08:19:52.195,22,97.0,988.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.912136,74.9002184,27.8,347.3,0.376,0
08:19:52.287,22,97.0,911.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.9121357,74.9002183,27.9,347.5,0.378,0
08:19:52.375,22,97.0,911.0,0.0,27.0,10.61,83.1,17.0,14.1,14.5,12.9121354,74.9002183,28.0,347.6,0.379,0
08:19:52.465,22,97.0,911.0,0.0,30.0,10.61,83.1,17.0,14.1,14.5,12.9121351,74.9002183,28.1,347.8,0.381,0
08:19:52.555,22,97.0,911.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121348,74.9002182,28.1,348.0,0.382,0
08:19:52.645,22,97.0,911.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121346,74.9002182,28.2,348.1,0.384,0
08:19:52.735,22,97.0,911.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121343,74.9002182,28.3,348.3,0.385,0
08:19:52.825,22,97.0,911.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.912134,74.9002181,28.4,348.4,0.387,0
08:19:52.916,22,97.0,911.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121337,74.9002181,28.4,348.6,0.389,0
08:19:53.007,22,97.0,911.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121334,74.900218,28.5,348.7,0.39,0
08:19:53.095,22,97.0,911.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121331,74.900218,28.6,348.9,0.391,0
08:19:53.185,22,97.0,890.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121328,74.900218,28.7,349.0,0.393,0
08:19:53.275,22,97.0,890.0,0.0,30.0,9.77,83.1,17.0,14.1,14.5,12.9121326,74.9002179,28.7,349.2,0.394,0
08:19:53.365,22,97.0,890.0,0.0,28.0,9.77,83.1,17.0,14.1,14.5,12.9121323,74.9002179,28.8,349.3,0.396,0
08:19:53.455,22,97.0,890.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.912132,74.9002178,28.9,349.5,0.397,0
08:19:53.545,22,97.0,890.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.9121317,74.9002178,28.9,349.6,0.399,0
08:19:53.635,22,97.0,890.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.9121314,74.9002178,29.0,349.8,0.4,0
08:19:53.725,22,97.0,890.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.9121311,74.9002177,29.1,350.0,0.402,0
08:19:53.815,22,97.0,890.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.9121308,74.9002177,29.2,350.1,0.403,0
08:19:53.905,22,97.0,890.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.9121306,74.9002176,29.2,350.3,0.405,0
08:19:53.995,22,97.0,890.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.9121303,74.9002176,29.3,350.4,0.406,0
08:19:54.085,22,97.0,870.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.91213,74.9002176,29.4,350.6,0.408,0
08:19:54.175,22,97.0,870.0,0.0,28.0,9.8,83.1,17.0,14.1,14.5,12.9121297,74.9002175,29.5,350.7,0.409,0
08:19:54.266,22,97.0,870.0,0.0,27.0,9.8,83.1,17.0,14.1,14.5,12.9121294,74.9002175,29.6,350.9,0.411,0
08:19:54.355,22,97.0,870.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121291,74.9002174,29.6,351.0,0.412,0
08:19:54.446,22,97.0,870.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121288,74.9002174,29.7,351.2,0.414,0
08:19:54.536,22,97.0,870.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121285,74.9002174,29.8,351.3,0.416,0
08:19:54.626,22,97.0,870.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121283,74.9002173,29.9,351.5,0.417,0
08:19:54.716,22,97.0,870.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.912128,74.9002173,29.9,351.6,0.419,0
08:19:54.807,22,97.0,870.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121277,74.9002173,30.0,351.8,0.42,0
08:19:54.896,22,97.0,870.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121274,74.9002172,30.1,352.0,0.422,0
08:19:54.985,22,97.0,856.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121271,74.9002172,30.2,352.1,0.423,0
08:19:55.075,22,97.0,856.0,0.0,27.0,9.91,83.1,17.0,14.1,14.5,12.9121268,74.9002171,30.2,352.3,0.424,0
08:19:55.165,22,97.0,856.0,0.0,26.0,9.91,83.1,17.0,14.1,14.5,12.9121266,74.9002171,30.3,352.4,0.426,0
08:19:55.256,22,97.0,856.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121263,74.9002171,30.4,352.6,0.428,0
08:19:55.346,22,97.0,856.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.912126,74.900217,30.5,352.7,0.429,0
08:19:55.436,22,97.0,856.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121257,74.900217,30.5,352.9,0.431,0
08:19:55.525,22,97.0,856.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121254,74.9002169,30.6,353.0,0.432,0
08:19:55.617,22,97.0,856.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121251,74.9002169,30.7,353.2,0.434,0
08:19:55.707,22,97.0,856.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121248,74.9002169,30.8,353.3,0.435,0
08:19:55.796,22,97.0,856.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121245,74.9002168,30.8,353.5,0.437,0
08:19:55.886,22,97.0,858.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121243,74.9002168,30.9,353.6,0.438,0
08:19:55.977,22,97.0,858.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.912124,74.9002167,31.0,353.8,0.44,0
08:19:56.066,22,97.0,858.0,0.0,26.0,10.02,83.1,17.0,14.1,14.5,12.9121237,74.9002167,31.1,354.0,0.441,0
08:19:56.156,22,97.0,858.0,0.0,26.0,11.16,83.1,17.0,14.1,14.5,12.9121234,74.9002167,31.1,354.1,0.443,0
08:19:56.246,22,97.0,858.0,0.0,26.0,11.16,83.1,17.0,14.1,14.5,12.9121231,74.9002166,31.2,354.3,0.444,0
08:19:56.336,22,97.0,858.0,0.0,26.0,11.16,83.1,17.0,14.1,14.5,12.9121228,74.9002166,31.3,354.4,0.446,0
08:19:56.426,22,97.0,858.0,0.0,26.0,11.16,83.1,17.0,14.9,14.5,12.9121225,74.9002166,31.4,354.6,0.447,0
08:19:56.516,22,97.0,858.0,0.0,26.0,11.16,83.1,17.0,14.9,14.5,12.9121223,74.9002165,31.4,354.7,0.449,0
08:19:56.608,22,97.0,858.0,0.0,26.0,11.16,83.1,17.0,14.9,14.5,12.912122,74.9002165,31.5,354.9,0.45,0
08:19:56.697,22,97.0,858.0,0.0,26.0,11.16,83.1,17.0,14.9,14.5,12.9121217,74.9002164,31.6,355.0,0.452,0
08:19:56.786,22,97.0,945.0,0.0,26.0,11.16,83.1,17.0,14.9,14.5,12.9121214,74.9002164,31.7,355.2,0.453,0
08:19:56.876,22,97.0,945.0,0.0,26.0,11.16,83.1,17.0,14.9,14.5,12.9121211,74.9002164,31.7,355.3,0.455,0
08:19:56.967,22,97.0,945.0,0.0,26.0,11.16,83.1,17.0,14.9,14.5,12.9121208,74.9002163,31.8,355.5,0.456,0
08:19:57.057,22,97.0,945.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121205,74.9002163,31.9,355.6,0.458,0
08:19:57.146,22,97.0,945.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121203,74.9002162,32.0,355.8,0.459,0
08:19:57.236,22,97.0,945.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.91212,74.9002162,32.0,356.0,0.461,0
08:19:57.326,22,97.0,945.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121197,74.9002162,32.1,356.1,0.462,0
08:19:57.416,22,97.0,945.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121194,74.9002161,32.2,356.3,0.464,0
08:19:57.518,22,97.0,945.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121191,74.9002161,32.3,356.4,0.465,0
08:19:57.597,22,98.0,945.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121188,74.900216,32.3,356.6,0.467,0
08:19:57.691,22,98.0,935.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121185,74.900216,32.4,356.7,0.468,0
08:19:57.776,22,98.0,935.0,0.0,26.0,11.08,83.1,17.0,14.9,14.5,12.9121183,74.900216,32.5,356.9,0.47,0
08:19:57.867,22,98.0,935.0,0.0,27.0,11.08,83.1,17.0,14.9,14.5,12.912118,74.9002159,32.6,357.0,0.471,0
08:19:57.957,22,98.0,935.0,0.0,27.0,11.38,83.1,17.0,14.9,14.5,12.9121177,74.9002159,32.6,357.2,0.473,0
08:19:58.045,22,98.0,935.0,0.0,27.0,11.38,83.1,17.0,14.9,14.5,12.9121174,74.9002159,32.7,357.3,0.474,0
08:19:58.135,22,98.0,935.0,0.0,27.0,11.38,83.1,17.0,14.9,14.5,12.9121171,74.9002158,32.8,357.5,0.475,0
08:19:58.226,22,98.0,935.0,0.0,27.0,11.38,83.1,17.0,14.9,14.5,12.9121168,74.9002158,32.9,357.6,0.477,0
08:19:58.316,22,98.0,935.0,0.0,27.0,11.38,83.1,17.0,14.9,14.9,12.9121165,74.9002157,32.9,357.8,0.479,0
08:19:58.406,22,98.0,935.0,0.0,27.0,11.38,83.1,17.0,14.9,14.9,12.9121163,74.9002157,33.0,358.0,0.48,0
08:19:58.497,22,99.0,935.0,0.0,27.0,11.38,83.1,17.0,14.9,14.9,12.912116,74.9002157,33.1,358.1,0.482,0
08:19:58.586,22,99.0,948.0,0.0,27.0,11.38,83.1,17.0,14.9,14.9,12.9121157,74.9002156,33.2,358.3,0.483,0
08:19:58.676,22,99.0,948.0,1.0,27.0,11.38,83.1,17.0,14.9,14.9,12.9121154,74.9002156,33.2,358.4,0.485,0
08:19:58.766,22,99.0,948.0,1.0,25.0,11.38,83.1,17.0,14.9,14.9,12.9121151,74.9002155,33.3,358.6,0.486,0
08:19:58.856,22,99.0,948.0,1.0,25.0,11.16,83.1,17.0,14.9,14.9,12.9121148,74.9002155,33.4,358.7,0.488,0
08:19:58.947,22,99.0,948.0,1.0,25.0,11.16,83.1,17.0,14.9,14.9,12.9121145,74.9002155,33.5,358.9,0.489,0
08:19:59.058,22,99.0,948.0,1.0,25.0,11.16,83.1,17.0,14.9,14.9,12.9121142,74.9002154,33.5,359.1,0.491,0
08:19:59.125,22,99.0,948.0,1.0,25.0,11.16,83.1,17.0,15.3,14.9,12.912114,74.9002154,33.6,359.2,0.492,0
08:19:59.216,22,99.0,948.0,1.0,25.0,11.16,83.1,17.0,15.3,14.9,12.9121137,74.9002153,33.7,359.3,0.494,0
08:19:59.306,22,99.0,948.0,1.0,25.0,11.16,83.1,17.0,15.3,14.9,12.9121134,74.9002153,33.8,359.5,0.495,0
08:19:59.396,22,99.0,948.0,1.0,25.0,11.16,83.1,17.0,15.3,14.9,12.9121131,74.9002153,33.8,359.6,0.497,0
08:19:59.486,22,99.0,920.0,1.0,25.0,11.16,83.1,17.0,15.3,14.9,12.9121128,74.9002152,33.9,359.8,0.498,0
08:19:59.576,22,99.0,920.0,2.0,25.0,11.16,83.1,17.0,15.3,14.9,12.9121125,74.9002152,34.0,360.0,0.5,0
08:19:59.668,22,99.0,920.0,2.0,25.0,11.16,83.1,17.0,15.3,14.9,12.9121133,74.900215,33.8,360.0,0.517,0
08:19:59.757,22,99.0,920.0,2.0,25.0,11.97,83.1,17.0,15.3,14.9,12.9121145,74.9002148,33.5,360.0,0.541,0
08:19:59.847,22,99.0,920.0,2.0,25.0,11.97,83.1,17.0,15.3,14.9,12.9121157,74.9002146,33.2,360.0,0.566,0
08:19:59.936,22,99.0,920.0,2.0,25.0,11.97,83.1,17.0,15.3,14.9,12.9121169,74.9002143,32.9,359.9,0.59,0
08:20:00.026,22,99.0,920.0,2.0,25.0,11.97,83.1,17.0,14.1,14.9,12.9121181,74.9002141,32.6,359.9,0.614,0
08:20:00.116,22,99.0,920.0,2.0,25.0,11.97,83.1,17.0,14.1,14.5,12.9121193,74.9002139,32.3,359.9,0.638,0
08:20:00.206,22,99.0,920.0,2.0,25.0,11.97,83.1,17.0,14.1,14.5,12.9121205,74.9002136,32.0,359.9,0.663,0
08:20:00.296,22,99.0,920.0,2.0,25.0,11.97,83.1,17.0,14.1,14.5,12.9121217,74.9002134,31.7,359.9,0.687,0
08:20:00.387,22,99.0,915.0,2.0,25.0,11.97,83.1,17.0,14.1,14.5,12.9121229,74.9002132,31.4,359.9,0.712,0
08:20:00.475,22,99.0,915.0,3.0,25.0,11.97,83.1,17.0,14.1,14.5,12.9121241,74.900213,31.1,359.9,0.736,0
08:20:00.565,22,99.0,915.0,3.0,25.0,11.97,83.1,17.0,14.1,14.5,12.9121253,74.9002127,30.8,359.8,0.76,0
08:20:00.656,22,99.0,915.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121265,74.9002125,30.5,359.8,0.785,0
08:20:00.746,22,99.0,915.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121277,74.9002123,30.2,359.8,0.809,0
08:20:00.838,22,99.0,915.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121289,74.900212,29.9,359.8,0.834,0
08:20:00.927,22,99.0,915.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121301,74.9002118,29.6,359.8,0.858,0
08:20:01.016,22,99.0,915.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121313,74.9002116,29.3,359.8,0.882,0
08:20:01.106,22,99.0,915.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121325,74.9002114,29.0,359.8,0.906,0
08:20:01.196,22,100.0,915.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121337,74.9002111,28.7,359.7,0.931,0
08:20:01.286,22,100.0,995.0,3.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121349,74.9002109,28.4,359.7,0.955,0
08:20:01.376,22,100.0,995.0,2.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121361,74.9002107,28.1,359.7,0.979,0
08:20:01.466,22,100.0,995.0,2.0,25.0,12.33,83.1,17.0,14.1,14.5,12.9121373,74.9002104,27.8,359.7,1.004,0
08:20:01.556,22,100.0,995.0,2.0,25.0,11.11,83.1,17.0,14.1,14.5,12.9121385,74.9002102,27.5,359.7,1.028,0
08:20:01.648,22,100.0,995.0,2.0,25.0,11.11,83.1,17.0,14.1,14.5,12.9121397,74.90021,27.1,359.7,1.053,0
08:20:01.736,22,100.0,995.0,2.0,25.0,11.11,83.1,17.0,14.1,14.5,12.9121409,74.9002098,26.8,359.7,1.077,0
08:20:01.826,22,100.0,995.0,2.0,25.0,11.11,83.1,17.0,14.9,14.5,12.9121421,74.9002095,26.5,359.7,1.101,0
08:20:01.918,22,100.0,995.0,2.0,25.0,11.11,83.1,17.0,14.9,14.5,12.9121433,74.9002093,26.2,359.6,1.126,0
08:20:02.006,22,100.0,995.0,2.0,25.0,11.11,83.1,17.0,14.9,14.5,12.9121445,74.9002091,25.9,359.6,1.15,0
08:20:02.096,22,100.0,995.0,2.0,25.0,11.11,83.1,17.0,14.9,14.5,12.9121457,74.9002088,25.6,359.6,1.174,0
08:20:02.187,22,100.0,919.0,2.0,25.0,11.11,83.1,17.0,14.9,14.5,12.9121469,74.9002086,25.3,359.6,1.199,0
08:20:02.276,22,100.0,919.0,2.0,25.0,11.11,83.1,17.0,14.9,14.5,12.9121481,74.9002084,25.0,359.6,1.223,0
08:20:02.366,22,100.0,919.0,2.0,24.0,11.11,83.1,17.0,14.9,14.5,12.9121493,74.9002081,24.7,359.6,1.247,0
08:20:02.456,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121505,74.9002079,24.4,359.6,1.272,0
08:20:02.546,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121517,74.9002077,24.1,359.5,1.296,0
08:20:02.636,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121529,74.9002075,23.8,359.5,1.321,0
08:20:02.727,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121541,74.9002072,23.5,359.5,1.345,0
08:20:02.817,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121553,74.900207,23.2,359.5,1.37,0
08:20:02.906,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121565,74.9002068,22.9,359.5,1.394,0
08:20:02.997,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121577,74.9002065,22.6,359.5,1.418,0
08:20:03.087,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121589,74.9002063,22.3,359.5,1.443,0
08:20:03.176,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121601,74.9002061,22.0,359.4,1.467,0
08:20:03.266,22,100.0,919.0,2.0,24.0,11.38,83.1,17.0,14.9,14.5,12.9121613,74.9002059,21.7,359.4,1.491,0
08:20:03.356,22,100.0,919.0,2.0,24.0,11.66,83.1,17.0,14.9,14.5,12.9121625,74.9002056,21.4,359.4,1.515,0
08:20:03.446,22,100.0,919.0,2.0,24.0,11.66,83.1,17.0,14.9,14.5,12.9121637,74.9002054,21.1,359.4,1.54,0
08:20:03.536,22,100.0,919.0,2.0,24.0,11.66,83.1,17.0,14.9,14.5,12.9121649,74.9002052,20.8,359.4,1.564,0
08:20:03.626,22,100.0,919.0,2.0,24.0,11.66,83.1,17.0,14.5,14.5,12.9121661,74.9002049,20.5,359.4,1.589,0
08:20:03.716,22,100.0,919.0,2.0,24.0,11.66,83.1,17.0,14.5,14.5,12.9121673,74.9002047,20.2,359.4,1.613,0
08:20:03.807,22,100.0,919.0,2.0,24.0,11.66,83.1,17.0,14.5,14.5,12.9121686,74.9002045,19.9,359.3,1.638,0
08:20:03.897,22,100.0,919.0,2.0,24.0,11.66,83.1,17.0,14.5,14.5,12.9121698,74.9002043,19.6,359.3,1.662,0
08:20:03.986,22,100.0,912.0,2.0,24.0,11.66,83.1,17.0,14.5,14.5,12.9121709,74.900204,19.3,359.3,1.686,0
08:20:04.075,22,100.0,912.0,2.0,24.0,11.66,83.1,17.0,14.5,14.5,12.9121721,74.9002038,19.0,359.3,1.71,0
08:20:04.166,22,100.0,912.0,2.0,24.0,11.66,83.1,17.0,14.5,14.5,12.9121734,74.9002036,18.7,359.3,1.735,0
08:20:04.257,22,100.0,912.0,2.0,24.0,12.19,83.1,17.0,14.5,14.5,12.9121746,74.9002033,18.4,359.3,1.759,0
08:20:04.346,22,100.0,912.0,2.0,24.0,12.19,83.1,17.0,14.5,14.5,12.9121758,74.9002031,18.1,359.3,1.783,0
08:20:04.437,22,100.0,912.0,2.0,24.0,12.19,83.1,17.0,14.5,14.5,12.912177,74.9002029,17.8,359.2,1.808,0
08:20:04.527,22,100.0,912.0,2.0,24.0,12.19,83.1,17.0,14.1,14.5,12.9121782,74.9002027,17.5,359.2,1.832,0
08:20:04.616,22,100.0,912.0,2.0,24.0,12.19,83.1,17.0,14.1,14.5,12.9121794,74.9002024,17.2,359.2,1.857,0
08:20:04.707,22,100.0,912.0,2.0,24.0,12.19,83.1,17.0,14.1,14.5,12.9121806,74.9002022,16.9,359.2,1.881,0
